GAME_DATE_EST,GAME_SEQUENCE,GAME_ID,GAME_STATUS_ID,GAME_STATUS_TEXT,GAMECODE,HOME_TEAM_ID,VISITOR_TEAM_ID,SEASON,LIVE_PERIOD,LIVE_PC_TIME,NATL_TV_BROADCASTER_ABBREVIATION,LIVE_PERIOD_TIME_BCAST,WH_STATUS
2023-10-13T00:00:00,1,0012300033,3,Final,20231013/MIASAS,1610612759,1610612748,2023,4,     ,TNT,Q4       - TNT,1
2023-10-13T00:00:00,2,0012300034,3,Final,20231013/GSWLAL,1610612747,1610612744,2023,4,     ,ESPN2,Q4       - ESPN2,1
